last_bot_message,last_user_message,message,keyboard,resize_keyboard,inline_keyboard,photo,key_value,intent
✏,/idea,Which problem are you solving? ✏,,,,,problem_input,/idea
Which problem are you solving? ✏,✏,Who are you solving it for? ✏,,,,,target_input,/idea
Who are you solving it for? ✏,✏,How are you solving it? ✏,,,,,solution_input,/idea
How are you solving it? ✏,✏,Thanks,,,,,,end_conversation
